date,data,cols
2025-11-03 00:00:00+07:00,3164839731130.867,channel_1
2025-11-03 00:10:00+07:00,3304347291326.239,channel_1
2025-11-03 00:20:00+07:00,3633046413365.7544,channel_1
2025-11-03 00:30:00+07:00,3150294162798.6978,channel_1
2025-11-03 00:40:00+07:00,3420046094866.822,channel_1
2025-11-03 00:50:00+07:00,3422696026204.812,channel_1
2025-11-03 01:00:00+07:00,3435142696029.722,channel_1
2025-11-03 01:10:00+07:00,3354077767856.176,channel_1
2025-11-03 01:20:00+07:00,3506086940121.917,channel_1
2025-11-03 01:30:00+07:00,3448561805085.101,channel_1
2025-11-03 01:40:00+07:00,3299564507864.2817,channel_1
2025-11-03 01:50:00+07:00,3149720241229.5146,channel_1
2025-11-03 02:00:00+07:00,3596810153886.1064,channel_1
2025-11-03 02:10:00+07:00,3419241756607.059,channel_1
2025-11-03 02:20:00+07:00,3207283701559.6865,channel_1
2025-11-03 02:30:00+07:00,3456241266080.197,channel_1
2025-11-03 02:40:00+07:00,3449931661625.548,channel_1
2025-11-03 02:50:00+07:00,3706685228614.957,channel_1
2025-11-03 03:00:00+07:00,3421103889757.9976,channel_1
2025-11-03 03:10:00+07:00,4038041753659.728,channel_1
2025-11-03 03:20:00+07:00,3515910563490.146,channel_1
2025-11-03 03:30:00+07:00,3303556823304.3525,channel_1
2025-11-03 03:40:00+07:00,2878231432659.671,channel_1
2025-11-03 03:50:00+07:00,3810573801405.89,channel_1
2025-11-03 04:00:00+07:00,4021093758693.0967,channel_1
2025-11-03 04:10:00+07:00,3890440844793.5527,channel_1
2025-11-03 04:20:00+07:00,3638197903147.367,channel_1
2025-11-03 04:30:00+07:00,3661252714603.673,channel_1
2025-11-03 04:40:00+07:00,3380640530124.38,channel_1
2025-11-03 04:50:00+07:00,3283214541033.026,channel_1
2025-11-03 05:00:00+07:00,3425373893023.07,channel_1
2025-11-03 05:10:00+07:00,3716691902540.3477,channel_1
2025-11-03 05:20:00+07:00,3166570709805.6963,channel_1
2025-11-03 05:30:00+07:00,3643865752017.4263,channel_1
2025-11-03 05:40:00+07:00,3693799211576.0806,channel_1
2025-11-03 05:50:00+07:00,3766285312698.7744,channel_1
2025-11-03 06:00:00+07:00,3886906167939.5103,channel_1
2025-11-03 06:10:00+07:00,3697072347789.5737,channel_1
2025-11-03 06:20:00+07:00,3715675826116.1216,channel_1
2025-11-03 06:30:00+07:00,3652186148737.8945,channel_1
2025-11-03 06:40:00+07:00,3988968124613.287,channel_1
2025-11-03 06:50:00+07:00,3540187869261.1016,channel_1
2025-11-03 07:00:00+07:00,3749697585051.1636,channel_1
2025-11-03 07:10:00+07:00,3709569232447.715,channel_1
2025-11-03 07:20:00+07:00,3585830641289.0737,channel_1
2025-11-03 07:30:00+07:00,3636258890726.4287,channel_1
2025-11-03 07:40:00+07:00,3292086900165.341,channel_1
2025-11-03 07:50:00+07:00,3780831589310.0225,channel_1
2025-11-03 08:00:00+07:00,3754971983443.9404,channel_1
2025-11-03 08:10:00+07:00,3737600111765.4863,channel_1
2025-11-03 08:20:00+07:00,3901230862024.0864,channel_1
2025-11-03 08:30:00+07:00,3784629262064.373,channel_1
2025-11-03 08:40:00+07:00,3594614776916.527,channel_1
2025-11-03 08:50:00+07:00,3868865494706.8774,channel_1
2025-11-03 09:00:00+07:00,3547104232842.0,channel_1
2025-11-03 09:10:00+07:00,3466454312673.7803,channel_1
2025-11-03 09:20:00+07:00,3282206136832.322,channel_1
2025-11-03 09:30:00+07:00,3630844333090.796,channel_1
2025-11-03 09:40:00+07:00,3745210348713.8604,channel_1
2025-11-03 09:50:00+07:00,3294528976501.9453,channel_1
2025-11-03 10:00:00+07:00,3808957604243.614,channel_1
2025-11-03 10:10:00+07:00,3653154237139.1597,channel_1
2025-11-03 10:20:00+07:00,3224546142623.0737,channel_1
2025-11-03 10:30:00+07:00,3355542228331.862,channel_1
2025-11-03 10:40:00+07:00,3545877690818.3364,channel_1
2025-11-03 10:50:00+07:00,3708553195774.6177,channel_1
2025-11-03 11:00:00+07:00,3154080989732.4326,channel_1
2025-11-03 11:10:00+07:00,3290596853645.0845,channel_1
2025-11-03 11:20:00+07:00,3383479231961.6626,channel_1
2025-11-03 11:30:00+07:00,3602442499753.153,channel_1
2025-11-03 11:40:00+07:00,3784687739529.9673,channel_1
2025-11-03 11:50:00+07:00,3838256223412.2974,channel_1
2025-11-03 12:00:00+07:00,3381098687375.712,channel_1
2025-11-03 12:10:00+07:00,3593568147277.332,channel_1
2025-11-03 12:20:00+07:00,3713912357450.213,channel_1
2025-11-03 12:30:00+07:00,3546320316907.602,channel_1
2025-11-03 12:40:00+07:00,3417639689947.3574,channel_1
2025-11-03 12:50:00+07:00,3625551903968.6343,channel_1
2025-11-03 13:00:00+07:00,3320949947277.171,channel_1
2025-11-03 13:10:00+07:00,3845399316506.6294,channel_1
2025-11-03 13:20:00+07:00,3464493595886.498,channel_1
2025-11-03 13:30:00+07:00,3354423815125.6553,channel_1
2025-11-03 13:40:00+07:00,3190028686100.85,channel_1
2025-11-03 13:50:00+07:00,3394978297252.8877,channel_1
2025-11-03 14:00:00+07:00,3075163692645.327,channel_1
2025-11-03 14:10:00+07:00,3447917086667.5596,channel_1
2025-11-03 14:20:00+07:00,3477155147054.967,channel_1
2025-11-03 14:30:00+07:00,3173358876032.022,channel_1
2025-11-03 14:40:00+07:00,3276365033196.232,channel_1
2025-11-03 14:50:00+07:00,3308198741918.8833,channel_1
2025-11-03 15:00:00+07:00,3120092689217.7646,channel_1
2025-11-03 15:10:00+07:00,3156753244084.526,channel_1
2025-11-03 15:20:00+07:00,3413080756079.85,channel_1
2025-11-03 15:30:00+07:00,3686247787160.098,channel_1
2025-11-03 15:40:00+07:00,3414485911917.6045,channel_1
2025-11-03 15:50:00+07:00,3384918101101.444,channel_1
2025-11-03 16:00:00+07:00,3447439535846.18,channel_1
2025-11-03 16:10:00+07:00,3260401765082.914,channel_1
2025-11-03 16:20:00+07:00,3386163506699.5103,channel_1
2025-11-03 16:30:00+07:00,3184880082550.021,channel_1
2025-11-03 16:40:00+07:00,3202742104135.178,channel_1
2025-11-03 16:50:00+07:00,3266705604893.0874,channel_1
2025-11-03 17:00:00+07:00,3126951122061.203,channel_1
2025-11-03 17:10:00+07:00,3527039014466.425,channel_1
2025-11-03 17:20:00+07:00,3139888649447.2095,channel_1
2025-11-03 17:30:00+07:00,3009687088164.312,channel_1
2025-11-03 17:40:00+07:00,2966989816867.9707,channel_1
2025-11-03 17:50:00+07:00,3291353290531.7573,channel_1
2025-11-03 18:00:00+07:00,3288848237579.8384,channel_1
2025-11-03 18:10:00+07:00,3112550822449.601,channel_1
2025-11-03 18:20:00+07:00,3468803559879.238,channel_1
2025-11-03 18:30:00+07:00,3388327785450.743,channel_1
2025-11-03 18:40:00+07:00,2959875428196.277,channel_1
2025-11-03 18:50:00+07:00,3087050111170.0283,channel_1
2025-11-03 19:00:00+07:00,3401951952136.0435,channel_1
2025-11-03 19:10:00+07:00,3104804669354.419,channel_1
2025-11-03 19:20:00+07:00,3300808940249.8696,channel_1
2025-11-03 19:30:00+07:00,3284512163745.679,channel_1
2025-11-03 19:40:00+07:00,3176207478151.7246,channel_1
2025-11-03 19:50:00+07:00,3439805515447.139,channel_1
2025-11-03 20:00:00+07:00,3006296110654.231,channel_1
2025-11-03 20:10:00+07:00,3303872997016.3975,channel_1
2025-11-03 20:20:00+07:00,3417711122602.5537,channel_1
2025-11-03 20:30:00+07:00,3421493652125.0684,channel_1
2025-11-03 20:40:00+07:00,2989605220108.8223,channel_1
2025-11-03 20:50:00+07:00,3080872166006.203,channel_1
2025-11-03 21:00:00+07:00,3480948241245.4014,channel_1
2025-11-03 21:10:00+07:00,3435676727312.1997,channel_1
2025-11-03 21:20:00+07:00,3745721629382.943,channel_1
2025-11-03 21:30:00+07:00,3312725042167.07,channel_1
2025-11-03 21:40:00+07:00,3201076409554.7197,channel_1
2025-11-03 21:50:00+07:00,3341324225794.3535,channel_1
2025-11-03 22:00:00+07:00,3787902119002.055,channel_1
2025-11-03 22:10:00+07:00,3355534004477.7637,channel_1
2025-11-03 22:20:00+07:00,3225945893515.8022,channel_1
2025-11-03 22:30:00+07:00,3358597638061.739,channel_1
2025-11-03 22:40:00+07:00,3169821446795.283,channel_1
2025-11-03 22:50:00+07:00,3171352776093.731,channel_1
2025-11-03 23:00:00+07:00,3523819794411.4785,channel_1
2025-11-03 23:10:00+07:00,3613391515309.5327,channel_1
2025-11-03 23:20:00+07:00,3120938348099.0854,channel_1
2025-11-03 23:30:00+07:00,3496249587103.701,channel_1
2025-11-03 23:40:00+07:00,3620535292856.4004,channel_1
2025-11-03 23:50:00+07:00,3093561355857.1523,channel_1
2025-11-04 00:00:00+07:00,3367972599794.7124,channel_1
2025-11-04 00:10:00+07:00,3526261218958.6763,channel_1
2025-11-04 00:20:00+07:00,3526191555887.6826,channel_1
2025-11-04 00:30:00+07:00,3563336299731.2153,channel_1
2025-11-04 00:40:00+07:00,3448642398308.256,channel_1
2025-11-04 00:50:00+07:00,3697313218929.001,channel_1
2025-11-04 01:00:00+07:00,3439535977709.1553,channel_1
2025-11-04 01:10:00+07:00,3473478177689.4487,channel_1
2025-11-04 01:20:00+07:00,3216306530042.5303,channel_1
2025-11-04 01:30:00+07:00,3619625236888.564,channel_1
2025-11-04 01:40:00+07:00,3443566252407.2144,channel_1
2025-11-04 01:50:00+07:00,3375574022544.9966,channel_1
2025-11-04 02:00:00+07:00,3681296676737.691,channel_1
2025-11-04 02:10:00+07:00,3606527054480.94,channel_1
2025-11-04 02:20:00+07:00,3458371185149.8794,channel_1
2025-11-04 02:30:00+07:00,3461817811942.3857,channel_1
2025-11-04 02:40:00+07:00,3424726865421.5596,channel_1
2025-11-04 02:50:00+07:00,3333358682869.248,channel_1
2025-11-04 03:00:00+07:00,3511379544869.3667,channel_1
2025-11-04 03:10:00+07:00,3551105093937.403,channel_1
2025-11-04 03:20:00+07:00,3856797784106.3325,channel_1
